segment_id,start,end,start_sec,end_sec,camera,transition,reason,subtitle
1,00:00:00,00:00:05,0.0,5.0,Camera1,fade,Opening stage shot,"小小的生息有著大他的感恩之心感恩開始的這件意,也感恩加上我們頭路的野出"
2,00:00:05,00:00:12,5.0,12.5,Camera1,crossfade,[Opening Ceremony] Switching to active stage angle: Stage Center (Close-up),"小小的生息有著大他的感恩之心感恩開始的這件意,也感恩加上我們頭路的野出"
3,00:00:12,00:00:18,12.5,18.0,Camera1,fade,[Opening Ceremony] Switching to active stage angle: Stage Front (Wide),"小小的生息有著大他的感恩之心感恩開始的這件意,也感恩加上我們頭路的野出"
4,00:00:18,00:00:22,18.0,22.0,Camera1,crossfade,[Opening Ceremony] Audience reaction (Audience Right),"小小的生息有著大他的感恩之心感恩開始的這件意,也感恩加上我們頭路的野出"
5,00:00:22,00:00:27,22.0,27.5,Camera1,fade,[Graduation Performance] Returning to stage performance (Stage Front (Wide)),"十五百開金十月,暴長新鑲喜代令"
6,00:00:27,00:00:57,27.5,57.5,Camera1,crossfade,[Graduation Performance] Switching to active stage angle: Stage Center (Close-up),"十五百開金十月,暴長新鑲喜代令 這是負擔重的暴君,白開其中的靠頭實際 今天我們有興要請到,因為畢竟是同學的媽媽,親與分享她的白開心的 而邀請她上台真想自己,先讓大家幫忙一段白開,回顧你"
7,00:00:57,00:01:06,57.5,66.5,Camera1,fade,[Certificate Presentation] Switching to active stage angle: Stage Front (Wide),"而邀請她上台真想自己,先讓大家幫忙一段白開,回顧你"
8,00:01:06,00:01:16,66.5,76.0,Camera2,crossfade,[Certificate Presentation] Switching to active stage angle: Stage Center (Close-up),请大家以热烈的掌声欢迎毕业班小朋友上台精彩演出！
9,00:01:16,00:01:20,76.0,80.0,Camera2,fade,[Certificate Presentation] Audience reaction (Audience Right),看小朋友们在舞台上展现自信与快乐的舞蹈表演！
10,00:01:20,00:01:39,80.0,99.5,Camera2,crossfade,[Closing Ceremony] Returning to stage performance (Stage Center (Close-up)),让我们再次为全体毕业生与付出辛劳的老师们热烈鼓掌！
11,00:01:39,00:01:43,99.5,103.5,Camera3,fade,[Closing Ceremony] Audience reaction (Audience Right),现在进行颁发毕业证书与优秀表现荣誉奖状环节。
12,00:01:43,00:02:03,103.5,123.0,Camera3,crossfade,[Closing Ceremony] Returning to stage performance (Stage Center (Close-up)),祝贺2026届全体毕业生快乐成长，前程似锦！
13,00:02:03,00:02:07,123.0,127.0,Camera4,fade,[Closing Ceremony] Audience reaction (Audience Right),欢迎各位家长、老师与嘉宾莅临阳光幼教毕业典礼！
14,00:02:07,00:02:26,127.0,146.0,Camera4,crossfade,[Closing Ceremony] Returning to stage performance (Stage Center (Close-up)),请大家以热烈的掌声欢迎毕业班小朋友上台精彩演出！
15,00:02:26,00:02:30,146.0,150.0,Camera4,fade,[Closing Ceremony] Audience reaction (Audience Right),看小朋友们在舞台上展现自信与快乐的舞蹈表演！
16,00:02:30,00:03:00,150.0,180.0,Camera4,crossfade,[Closing Ceremony] Returning to stage performance (Stage Center (Close-up)),让我们再次为全体毕业生与付出辛劳的老师们热烈鼓掌！
